Site_name2,Site_name,Latitude,Longitude,Country,Max_date,Min_date,Type,Group,Hominin,Artifact_Class,Present,citation
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,ornamentation,yes,Badenhorst and Plug 2012
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,art,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,bone,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,engravedBone,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,engravedEggshell,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,engravedOchre,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,exotic,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,hafting,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,ochre,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,ornamentation,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,wooden,no,NA
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,engraved,yes,Clark 1963
Caimbunji,Caimbunji,-7.35497,20.81291,Angola,NA,NA,Open air,100-199,no,engravedStone,yes,Clark 1963
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,art,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,bone,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,engraved,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,engravedBone,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,engravedEggshell,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,engravedOchre,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,engravedStone,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,exotic,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,ochre,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,ornamentation,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,wooden,no,NA
Campitello,Campitello,43.46666667,43.46666667,Italy,n/a,MIS 6,Open air,100-199,no,hafting,yes,Mazza et al 2006
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,art,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,bone,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,engraved,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,engravedBone,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,engravedEggshell,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,engravedOchre,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,engravedStone,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,exotic,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,hafting,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,ornamentation,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,wooden,no,NA
Canteen Kopje,Canteen Kopje,-28.542778,24.531111,South Africa,n/a,300,Open air,300-399,no,ochre,yes,Watts et al 2016
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,art,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,bone,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,engravedBone,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,engravedEggshell,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,engravedStone,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,exotic,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,hafting,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,ochre,yes,Micichillo 2005
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,ornamentation,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,wooden,no,NA
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,engraved,yes,Micichillo 2005
Cape Hangklip,Cape Hangklip,-34.38333333,18.81666667,South Africa,MSA,NA,Open air,45-99,no,engravedOchre,yes,Micichillo 2005
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,art,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,bone,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,engraved,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,engravedBone,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,engravedEggshell,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,engravedOchre,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,engravedStone,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,hafting,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,wooden,no,NA
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,exotic,yes,Mason 1988
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,ochre,yes,Mason 1988
Cave of Hearths,Cave of Hearths,-24.14027778,29.2,South Africa,NA,50,Cave,45-99,MSA hominin,ornamentation,yes,Mason 1988
